"Year" "Month" "2025_central" "2025_hotdry" "2025_hotwet" "2025_warmdry" "2025_warmwet" "2055_central" "2055_hotdry" "2055_hotwet" "2055_warmdry" "2055_warmwet" "2085_central" "2085_hotdry" "2085_hotwet" "2085_warmdry" "2085_warmwet" "Maurer"
1949 1 32.3711 32.6465 32.56032 31.9639 32.03662 33.0667 34.16574 33.50349 32.75465 32.68729 34.72983 37.40917 36.85284 33.61754 33.84248 31.6267
1949 2 52.37659 51.82323 52.89674 52.40526 52.54441 54.10405 56.24147 57.46195 53.2328 54.39395 58.44241 58.09026 59.10782 57.37619 56.28442 50.16096
1949 3 90.87052 92.86647 94.5803 88.45863 87.31219 97.86178 88.91183 95.27341 93.80983 92.40171 98.61188 93.7218 97.37752 94.5127 95.29861 80.44968
1949 4 159.5353 163.505 180.8404 151.8388 166.457 177.0143 149.3134 197.0603 164.8324 182.1536 188.1649 157.2837 210.8489 170.3819 192.0713 149.1851
1949 5 312.8508 313.8095 362.2707 302.4199 345.3207 336.8832 245.5263 363.2811 303.0916 364.5654 301.2343 235.1313 318.7367 291.7303 377.4654 331.7948
1949 6 456.4721 424.1964 584.0643 456.5101 531.3598 526.7937 348.3174 533.5012 469.6272 592.8336 431.4235 322.9506 420.4005 443.3835 586.7336 518.7587
1949 7 444.5812 407.2605 522.3148 450.9646 512.9664 473.131 321.4035 467.1297 440.0009 554.6619 401.5283 296.7577 370.3745 409.2238 559.2149 514.0536
1949 8 392.5153 365.6992 442.4632 392.1487 443.2983 407.5521 281.0815 394.3487 385.6875 463.0197 349.5372 253.7424 316.2289 356.1151 467.131 454.5901
1949 9 323.2831 299.27 365.2372 324.2504 363.4303 333.8547 229.8932 319.9754 315.6366 381.0647 283.7113 207.4681 256.0611 291.223 378.0884 376.3254
1949 10 299.394 272.2859 335.7272 295.8026 335.9221 303.775 209.571 291.0081 285.0816 348.7216 256.7448 187.7449 232.7166 262.9055 344.3498 351.9769
1949 11 282.2181 252.9254 315.419 273.6043 319.8515 279.599 188.0978 266.327 261.2279 328.1429 231.9865 166.2898 209.2223 238.165 318.8204 340.8363
1949 12 277.8673 245.0313 308.3459 264.1847 321.3371 270.7346 180.5365 257.99 250.5658 322.0177 222.835 158.3041 203.2663 227.539 308.4684 344.1643
1950 1 282.0801 249.0454 311.2358 265.7888 326.0366 272.6033 185.0879 259.9372 252.3811 324.4347 225.7676 163.4744 208.383 229.462 308.449 350.317
1950 2 278.0495 246.3737 306.9886 260.32 324.0894 268.2803 182.7834 255.7152 248.5576 319.93 221.3987 164.9534 206.899 223.3866 302.5154 349.6
1950 3 297.0859 267.8868 330.1654 276.5008 340.4851 292.4736 205.1956 287.6216 265.9214 343.5016 252.8557 185.4153 241.2948 247.7349 332.6637 360.3105
1950 4 423.3966 388.6071 500.9474 374.3907 466.5773 466.2498 346.512 504.423 403.375 517.0948 490.9889 416.5182 516.3456 406.893 584.3877 460.1872
1950 5 1090.126 949.2504 1143.305 916.5566 1209.732 1058.279 715.8766 984.5986 1004.114 1190.719 898.7811 567.2296 682.9929 953.8454 1137.118 1081.821
1950 6 798.8465 730.6959 842.5221 745.1424 867.7883 785.6014 587.3928 758.3142 752.1285 874.608 703.0095 512.5306 596.3855 717.8476 854.6779 881.4153
