Stn_#	StnAbrev	Directory	Start_Year	Start_Month	End_Year	End_Month
00001	LOBAT	Observed	1950	1	1999	12
00002	CERRO	Observed	1950	1	1999	12
00003	QUEST	Observed	1950	1	1999	12
00004	RPUEB	Observed	1950	1	1999	12
00005	EMBCK	Observed	1950	1	1999	12
00006	RBLNC	Observed	1950	1	1999	12
00007	LNAVA	Observed	1950	1	1999	12
00008	NAVAJ	Observed	1950	1	1999	12
00009	GALIS	Observed	1950	1	1999	12
00010	JEMEZ	Observed	1950	1	1999	12
00011	TIJER	Observed	1950	1	1999	12
00012	SDIVC	Observed	1950	1	1999	12
00013	PUERC	Observed	1950	1	1999	12
00014	CCNGC	Observed	1950	1	1999	12
00015	RCNLP	Observed	1950	1	1999	12
00016	ROCLM	Observed	1950	1	1999	12
00017	RNNFD	Observed	1950	1	1999	12
00018	SFRCL	Observed	1950	1	1999	12
00019	CORNM	Observed	1950	1	1999	12
00020	LPRNO	Observed	1950	1	1999	12
00021	SARAO	Observed	1950	1	1999	12
00022	RGNDN	Observed	1950	1	1999	12
00023	SFNSF_NF	Observed	1950	1	1999	12
00023	SFNSF_GF	Observed	1950	1	1999	12
